Fold,Model,TN,FP,FN,TP,F1-Score,Precision,Recall,AUC
1,EfficientNet,568,35,14,559,0.9580119965724079,0.9410774410774411,0.9755671902268761,0.9964546088637672
2,EfficientNet,582,18,3,573,0.9820051413881749,0.9695431472081218,0.9947916666666666,0.9761400462962964
3,EfficientNet,581,0,2,593,0.9983164983164983,1.0,0.9966386554621849,0.9999942145532912
4,EfficientNet,588,1,189,398,0.8073022312373225,0.9974937343358395,0.6780238500851788,0.9799243947093651
5,EfficientNet,567,0,4,605,0.9967051070840197,1.0,0.993431855500821,0.9999971039927251
