Fold,Model,TN,FP,FN,TP,F1-Score,Precision,Recall,AUC
1,Xception,600,3,4,569,0.993886462882096,0.9947552447552448,0.9930191972076788,0.9998205597955541
2,Xception,599,1,1,575,0.9982638888888888,0.9982638888888888,0.9982638888888888,0.9999826388888888
3,Xception,312,269,3,592,0.8131868131868132,0.6875725900116144,0.9949579831932773,0.9805261863781657
4,Xception,584,5,9,578,0.9880341880341881,0.9914236706689536,0.9846678023850085,0.9879910800797125
5,Xception,559,8,0,609,0.9934747145187602,0.9870340356564019,1.0,0.9999131197817569
